,name,store_id,partner_name,store_name,address,zip,state,province,area
0,subbyx,subbyxb2c,subbyx,Subbyx,subbyx,,,,unknown
1,euronics_butali_montecatini,439,euronics,Euronics Montecatini,"Via Biscolla 48, Massa e Cozzile (PT) 51010 ",51010.0,Toscana,Pistoia,center
2,euronics_butali_grosseto,465,euronics,Euronics Grosseto,"Via Cile Loc.Tà Commendone (Centro Comm. Maremà), Grosseto 58100",58100.0,Toscana,Grosseto,center
3,euronics_butali_corciano,463,euronics,Euronics Corciano,"Centro Comm. Quasar, Via Aldo Capitini 8, Corciano (PG) 06073",6073.0,Umbria,Perugia,center
4,irapido_euroma2,euroma2,irapido,iRapido Euroma2,"Viale dell'Oceano Pacifico 83, Roma (RM) 00144",144.0,Lazio,Roma,center
5,irapido_tuscolana,irapido_tuscolana,irapido,iRapido Tuscolana,"Via Tuscolana 1182, Roma (RM) 00174",174.0,Lazio,Roma,center
6,irapido_appia,irapido_appia,irapido,iRapido Appia,"Via Appia Nuova 96, Roma (RM) 00183",183.0,Lazio,Roma,center
7,irapido_libia,irapido_libia,irapido,iRapido Libia,"Viale Libia 108, Roma (RM) 00199",199.0,Lazio,Roma,center
8,butali_euronics_firenze_v.le_dei_mille,101,euronics,Euronics Viale dei mille,"Viale dei Mille 140, Firenze 50131",50131.0,Toscana,Firenze,center
9,butali_euronics_arezzo_san_zeno,306,euronics,Euronics Arezzo,"Strada D 1, San Zeno (Arezzo) 52100",52100.0,Toscana,Arezzo,center
10,butali_euronics_sinalunga,404,euronics,Euronics Sinalunga,"Centro Commerciale I Gelsi, Via Casalpiano, 1, Sinalunga 53048",53048.0,Toscana,Siena,center
11,butali_euronics_lucca,418,euronics,Euronics Lucca,"Via C. Del Prete, Lucca 55100",55100.0,Toscana,Lucca,center
12,butali_euronics_firenze_via_di_novoli,419,euronics,Euronics Firenze Via di novoli,"Via di Novoli 22, Firenze 50127",50127.0,Toscana,Firenze,center
13,butali_euronics_massa,423,euronics,Euronics Massa,"Via Marina Vecchia 222, Massa 54100",54100.0,Toscana,Massa-Carrara,center
14,butali_euronics_citta_di_castello,426,euronics,Euronics città di castello,"Centro Comm. Cross, Via Piero della Francesca 17, Citta di castello 6012",6012.0,Umbria,Perugia,center
15,butali_euronics_setteponti_ar,431,euronics,Euronics Setteponti,V.le Giovanni Amendola Arezzo 52100,52100.0,Toscana,Arezzo,center
16,butali_euronics_bibbiena,434,euronics,Euronics Bibbiena,"località Palazzetto Centro Commerciale Il Casentino, Bibbiena 52011",52011.0,Toscana,Arezzo,center
17,butali_euronics_sesto_fiorentino,437,euronics,Euronics Sesto fiorentino,"Via Petrosa 19, Sesto fiorentino 50019",50019.0,Toscana,Firenze,center
18,butali_euronics_pontedera,441,euronics,Euronics Pontedera,"Via Tosco Romagnola 21, Pontedera 56025",56025.0,Toscana,Pisa,center
19,butali_euronics_orbetello,442,euronics,Euronics Orbetello,"Via Aurelia Km 145, Orbetello 58016",58016.0,,,unknown
20,butali_euronics_navacchio,444,euronics,Euronics Navacchio,"Via del Fosso Vecchio 457, Navacchio 56023",56023.0,Toscana,Pisa,center
21,butali_euronics_sarzana,446,euronics,Euronics Navacchio,"Via Variante Cisa 57, Sarzana 19038",19038.0,Liguria,La Spezia,north
22,butali_euronics_firenze_centro_comm.le_gavina,447,euronics,Euronics Firenze Gavina,"Centro Comm. Coop Gavinana Centro Commerciale Coop, Viale Donato Giannotti, Firenze 50126",50126.0,Toscana,Firenze,center
23,butali_euronics_marsciano,448,euronics,Eruronics Marsciano,"Parco Comm.Cross Conad, Viale Fratelli Briziarelli 11, Marsciano 6055",6055.0,Umbria,Perugia,center
24,butali_euronics_trevi_centro_comm.le_piazzaum,450,euronics,Euronics Trevi Piazza Umbra,"SS3, Km 147, Trevi 6039",6039.0,Umbria,Perugia,center
25,butali_euronics_prato,454,euronics,Euronics Prato,"O Parco Prato Coop, Via delle Pleiadi 87, Prato 59100",59100.0,Toscana,Prato,center
